_id,isbn,title,author,category,thumbnail,description,published_year,num_pages,price,updatedAt,average_review_score,number_of_review
"69a80e1975799eeae19a1b2d","9780002261982","Spider","Agatha Christie","Detective and mystery stories","http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI","2000","241","192000","2026-03-28T12:05:02.308Z","0","0"
"69a80e1975799eeae19a1b31","9780006551812","'Tis","Frank McCourt","Ireland","http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","FROM THE PULIZER PRIZE-WINNING AUTHOR OF THE #1 ""NEW YORK TIMES"" BESTSELLER ""ANGELA'S ASHES"" Frank McCourt's glorious childhood memoir, ""Angela's Ashes, "" has been loved and celebrated by readers everywhere. It won the National Book Critics Circle Award, the ""Los Angeles Times"" Book Award and the Pulitzer Prize. Rarely has a book so swiftly found its place on the literary landscape. And now we have ""'Tis, "" the story of Frank's American journey from impoverished immigrant to brilliant teacher and raconteur. Frank lands in New York at age nineteen and gets a job at the Biltmore Hotel, where he immediately encounters the vivid hierarchies of this ""classless country,"" and then is drafted into the army and is sent to Germany to train dogs and type reports. It is Frank's incomparable voice that renders these experiences spellbinding. When Frank returns to America in 1953, he works on the docks, always resisting what everyone tells him. He knows that he should be getting an education, and though he left school at fourteen, he talks his way into New York University. There, he falls in love with the quintessential Yankee and tries to live his dream. But it is not until he starts to teach that Frank finds his place in the world.","2000","495","329000","2026-03-28T12:05:02.308Z","0","0"
"69a80e1975799eeae19a1b2e","9780006380832","Empires of the Monsoon","Richard Hall","Africa, East","http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition.","1998","608","217000","2026-03-28T12:05:02.308Z","0","0"
"69a80e1975799eeae19a1b2f","9780006470229","The Gap Into Madness","Stephen R. Donaldson","Hyland, Morn (Fictitious character)","http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...","1994","743","202000","2026-03-28T12:05:02.308Z","0","0"
"69a80e1975799eeae19a1b30","9780006499626","Miss Marple","Agatha Christie","Detective and mystery stories, English","http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Miss Marple featured in 20 short stories, published in a number of different collections in Britain and America. Presented here in their order of publication, Miss Marple uses her unique insight to deduce the truth about a series of unsolved crimes.","1997","359","436000","2026-03-28T12:05:02.308Z","0","0"
"69a8414606a0eb4bb1b3edd4","8543908332","Harry Potter and The Deathly Hallows","J.K Rowling","Adventure","https://i.ebayimg.com/images/g/EWYAAeSwOGxpmGL0/s-l1600.jpg","Last section in HP journey","2001","300","230000","2026-03-28T12:05:02.308Z","5","1"
"69aaf66ada8ed7b79eb55841","233423","Just Curious","Jude Deveraux","Literature & Fiction","/uploads/1772811879004-81B6Q2Uxz0L._SL1500_.jpg","In New York Times bestselling author Jude Deveraux’s charming Christmas enovella, originally featured in the hit holiday anthology Simple Gifts, a young widow finds that miracles really do come in the least expected packages.

Beautiful Karen Lawrence doesn't put much trust in men—particularly her playboy boss, MacAllister Taggert. Though she can't see a future with him, Kate has a secret yearning to have a child before her biological clock expires—and she finds no other worthy sperm donor candidate with excellent physical, mental, and health qualities than her boss.

When she's discovered snooping in her boss's office one evening, Karen suddenly becomes an object of attraction for MacAllister. Expecting to get fired, she is surprised to be propositioned to pose as a MacAllister's fiancée and to escort him to his cousin's wedding, in return for anything she wants—even a baby.

As Karen spends time more with MacAllister and his family, she finds herself falling for him. Can she trust herself to open up to anothe man, or is Karen setting herself up for downfall?","1994","332","233333","2026-03-28T12:05:02.308Z","0","0"
"69aafd239342a498636edcd2","3234234","In Her Eyes","Sarah Alderson","Literature & Fiction","/uploads/1772813601491-91-PC4IvNCL._SY466_.jpg","Ava's life is the kind other people envy: loving husband; great kids; beautiful house. Until a violent home invasion turns the dream into a nightmare and leaves her daughter fighting to survive.

This wasn't a random attack and Ava is reeling from the knowledge that someone is targeting her family. Who could hate them enough to kill?

To save those she loves from even greater danger Ava must find out what really happened that night. But when everyone around her has been lying, how will she decide who to trust?","1995","355","335644","2026-03-28T12:05:02.308Z","0","0"
"69aafe92acb4175744182a66","23565","Someone You Know","Erin Kinsley","Mystery, Thriller & Suspense","/uploads/1772813968239-81pw7stx3aL._SY466_.jpg","*** SUNDAY TIMES CRIME BOOK OF THE MONTH, from the bestselling author of FOUND***
'The unravelling of a family are brilliantly portrayed in this painfully realistic novel' SUNDAY TIMES
'Brilliant, compelling, heart-wrenching writing' PETER JAMES

Your daughter isn't answering your calls.
She's not replying to your messages.

You rush to her house.
She's slumped in the basement, dying and alone.

You desperately call for help.
She whispers a single word: 'pushed'.

Someone is keeping secrets.
And it must be someone you know...

'A tense and intriguing thriller you'll find difficult to put down' WOMAN'S WEEKLY
'This razor-sharp thriller keeps you guessing until the last page' WOMAN'S OWN

Praise for Erin Kinsley:

'An unputdownable thriller.' ELLY GRIFFITHS

'Sensitive and moving...but with a core of pure tension' SUNDAY TIMES

'Full of twists and turns to keep you guessing, this is a gripping and compelling read you won't want to put down' HEAT","2009","766","489988","2026-03-28T12:05:02.308Z","0","0"
"69ab123456789eeae19a1b32","9780141439518","Pride and Prejudice","Jane Austen","Classic Literature","http://books.google.com/books/content?id=s1gVAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","A classic novel of manners, Jane Austen's Pride and Prejudice follows the turbulent relationship between Elizabeth Bennet and the wealthy landowner Fitzwilliam Darcy.","1813","432","155000","2026-03-28T12:05:02.308Z","4.8","120"
