_id,bookId,inHouseQuantity,reservedQuantity,binLocation,weightGrams,createdAt,updatedAt
"69da18c14e962d6bd6a939b3","69a80e1975799eeae19a1b2d","19","0","A-1","500","2026-04-11T09:47:45.998Z","2026-04-11T09:47:45.998Z"
"69da18c24e962d6bd6a939b8","69a80e1975799eeae19a1b31","20","0","B-2","500","2026-04-11T09:47:46.221Z","2026-04-11T09:47:46.221Z"
"69da18c24e962d6bd6a939bc","69a80e1975799eeae19a1b2e","19","0","B-2","500","2026-04-11T09:47:46.413Z","2026-04-11T09:47:46.413Z"
"69da18c24e962d6bd6a939c0","69a80e1975799eeae19a1b2f","3","0","A-1","500","2026-04-11T09:47:46.603Z","2026-04-11T09:47:46.603Z"
"69da18c24e962d6bd6a939c4","69a80e1975799eeae19a1b30","20","0","B-2","500","2026-04-11T09:47:46.824Z","2026-04-11T09:47:46.824Z"
"69da18c34e962d6bd6a939c8","69a8414606a0eb4bb1b3edd4","20","0","A-2","500","2026-04-11T09:47:47.022Z","2026-04-11T09:47:47.022Z"
"69da18c34e962d6bd6a939cc","69aaf66ada8ed7b79eb55841","20","0","C-1","500","2026-04-11T09:47:47.225Z","2026-04-11T09:47:47.225Z"
"69da18c34e962d6bd6a939d0","69aafd239342a498636edcd2","8","0","A-1","500","2026-04-11T09:47:47.422Z","2026-04-11T09:47:47.422Z"
"69da18c34e962d6bd6a939d4","69aafe92acb4175744182a66","5","0","A-2","500","2026-04-11T09:47:47.636Z","2026-04-11T09:47:47.636Z"
"69da18c34e962d6bd6a939d8","69ab123456789eeae19a1b32","14","0","C-2","400","2026-04-11T09:47:47.838Z","2026-04-11T09:47:47.838Z"
"69da18c44e962d6bd6a939dc","69ab123456789eeae19a1b38","21","0","B-3","480","2026-04-11T09:47:48.058Z","2026-04-11T09:47:48.058Z"
"69da18c44e962d6bd6a939e0","69ab123456789eeae19a1b39","7","0","C-1","420","2026-04-11T09:47:48.255Z","2026-04-11T09:47:48.255Z"
"69da18c44e962d6bd6a939e4","69ab123456789eeae19a1b36","12","0","A-2","450","2026-04-11T09:47:48.442Z","2026-04-11T09:47:48.442Z"
"69da18c44e962d6bd6a939e8","69ab123456789eeae19a1b40","12","0","D-2","600","2026-04-11T09:47:48.632Z","2026-04-11T09:47:48.632Z"
"69da18c44e962d6bd6a939ec","69ab123456789eeae19a1b33","25","0","A-3","350","2026-04-11T09:47:48.834Z","2026-04-11T09:47:48.834Z"
"69da18c54e962d6bd6a939f0","69ab123456789eeae19a1b35","30","0","B-1","320","2026-04-11T09:47:49.032Z","2026-04-11T09:47:49.032Z"
"69da18c54e962d6bd6a939f4","69ab123456789eeae19a1b41","41","0","A-4","300","2026-04-11T09:47:49.268Z","2026-04-11T09:47:49.268Z"
"69da18c54e962d6bd6a939f8","69ab123456789eeae19a1b34","9","0","A-1","300","2026-04-11T09:47:49.452Z","2026-04-11T09:47:49.452Z"
"69da18c54e962d6bd6a939fc","69ab123456789eeae19a1b37","17","0","D-1","550","2026-04-11T09:47:49.649Z","2026-04-11T09:47:49.649Z"
